iter	Passed	Remaining
1214	19542	20025
1215	19559	20009
1216	19575	19993
1217	19591	19977
1218	19606	19960
1219	19622	19944
1220	19638	19928
1221	19654	19911
1222	19671	19896
1223	19687	19880
1224	19702	19863
1225	19718	19847
1226	19734	19831
1227	19750	19814
1228	19766	19799
1229	19783	19783
1230	19798	19766
1231	19814	19749
1232	19830	19733
1233	19846	19718
1234	19863	19702
1235	19880	19687
1236	19895	19670
1237	19912	19654
1238	19928	19639
1239	19944	19623
1240	19960	19607
1241	19977	19591
1242	19992	19574
1243	20009	19558
1244	20026	19544
1245	20043	19528
1246	20060	19513
1247	20076	19497
1248	20092	19480
1249	20108	19464
1250	20124	19448
1251	20139	19431
1252	20155	19416
1253	20172	19399
1254	20187	19383
1255	20204	19367
1256	20220	19351
1257	20236	19335
1258	20252	19319
1259	20268	19303
1260	20284	19287
1261	20301	19271
1262	20317	19255
1263	20333	19239
1264	20349	19223
1265	20366	19208
1266	20383	19192
1267	20400	19177
1268	20416	19161
1269	20433	19146
1270	20449	19130
1271	20465	19114
1272	20482	19098
1273	20498	19083
1274	20516	19067
1275	20532	19051
1276	20548	19035
1277	20564	19019
1278	20580	19003
1279	20596	18986
1280	20611	18970
1281	20628	18954
1282	20644	18938
1283	20660	18922
1284	20675	18905
1285	20692	18890
1286	20708	18874
1287	20724	18857
1288	20740	18841
1289	20756	18825
1290	20772	18809
1291	20789	18793
1292	20804	18777
1293	20821	18761
1294	20837	18745
1295	20853	18729
1296	20868	18712
1297	20885	18697
1298	20901	18680
1299	20917	18664
1300	20933	18648
1301	20949	18632
1302	20965	18616
1303	20981	18600
1304	20998	18585
1305	21016	18570
1306	21033	18555
1307	21050	18539
1308	21066	18523
1309	21082	18507
1310	21098	18491
1311	21113	18474
1312	21130	18458
1313	21147	18443
1314	21163	18427
1315	21179	18411
1316	21195	18395
1317	21212	18379
1318	21227	18362
1319	21243	18346
1320	21260	18331
1321	21276	18315
1322	21292	18299
1323	21308	18282
1324	21324	18266
1325	21341	18251
1326	21357	18235
1327	21372	18218
1328	21388	18202
1329	21405	18186
1330	21422	18171
1331	21438	18154
1332	21454	18138
1333	21469	18122
1334	21485	18106
1335	21501	18089
1336	21517	18073
1337	21533	18057
1338	21550	18041
1339	21566	18025
1340	21581	18009
1341	21598	17993
1342	21614	17976
1343	21630	17960
1344	21646	17944
1345	21661	17927
1346	21678	17912
1347	21694	17896
1348	21710	17880
1349	21726	17864
1350	21743	17848
1351	21759	17832
1352	21775	17816
1353	21792	17800
1354	21808	17784
1355	21824	17768
1356	21839	17751
1357	21856	17736
1358	21872	17720
1359	21888	17703
1360	21903	17687
1361	21920	17671
1362	21937	17656
1363	21953	17640
1364	21969	17623
1365	21985	17607
1366	22001	17591
1367	22018	17576
1368	22035	17560
1369	22052	17545
1370	22068	17529
1371	22083	17512
1372	22100	17496
1373	22115	17480
1374	22132	17464
1375	22148	17448
1376	22163	17431
1377	22179	17415
1378	22195	17399
1379	22211	17382
1380	22228	17367
1381	22244	17351
1382	22262	17336
1383	22278	17320
1384	22294	17304
1385	22310	17288
1386	22326	17272
1387	22344	17257
1388	22359	17240
1389	22376	17224
1390	22392	17209
1391	22408	17192
1392	22425	17177
1393	22441	17161
1394	22457	17145
1395	22473	17128
1396	22489	17112
1397	22505	17096
1398	22521	17080
1399	22538	17064
1400	22553	17048
1401	22571	17033
1402	22588	17017
1403	22604	17001
1404	22621	16986
1405	22637	16970
1406	22653	16953
1407	22668	16937
1408	22684	16920
1409	22700	16904
1410	22716	16888
1411	22732	16872
1412	22748	16856
1413	22764	16840
1414	22780	16824
1415	22796	16807
1416	22812	16791
1417	22827	16774
1418	22843	16758
1419	22859	16742
1420	22876	16726
1421	22892	16710
1422	22908	16694
1423	22923	16677
1424	22940	16661
1425	22956	16646
1426	22974	16631
1427	22990	16615
1428	23007	16599
1429	23024	16584
1430	23041	16568
1431	23057	16552
1432	23073	16536
1433	23089	16519
1434	23105	16503
1435	23121	16487
1436	23137	16471
1437	23153	16455
1438	23172	16441
1439	23188	16425
1440	23203	16408
1441	23218	16391
1442	23234	16375
1443	23251	16359
1444	23267	16343
1445	23282	16326
1446	23298	16310
1447	23314	16294
1448	23330	16278
1449	23346	16262
1450	23362	16246
1451	23377	16229
1452	23393	16212
1453	23410	16197
1454	23425	16180
1455	23441	16164
1456	23456	16147
1457	23472	16131
1458	23489	16115
1459	23505	16099
1460	23521	16083
1461	23537	16067
1462	23553	16051
1463	23570	16035
1464	23586	16019
1465	23602	16003
1466	23618	15987
1467	23634	15970
1468	23649	15954
1469	23665	15938
1470	23683	15923
1471	23699	15906
1472	23715	15890
1473	23731	15874
1474	23747	15858
1475	23764	15843
1476	23780	15826
1477	23796	15810
1478	23812	15794
1479	23828	15778
1480	23845	15762
1481	23861	15746
1482	23877	15730
1483	23893	15714
1484	23909	15698
1485	23925	15682
1486	23941	15666
1487	23959	15650
1488	23975	15634
1489	23991	15618
1490	24008	15602
1491	24023	15586
1492	24040	15570
1493	24056	15554
1494	24072	15538
1495	24087	15521
1496	24103	15505
1497	24120	15490
1498	24137	15474
1499	24154	15458
1500	24170	15442
1501	24186	15426
1502	24202	15410
1503	24217	15393
1504	24232	15376
1505	24248	15360
1506	24264	15344
1507	24280	15328
1508	24297	15312
1509	24313	15296
1510	24328	15279
1511	24344	15263
1512	24359	15246
1513	24375	15230
1514	24391	15214
1515	24408	15198
1516	24423	15182
1517	24439	15166
1518	24456	15150
1519	24472	15134
1520	24488	15118
1521	24503	15101
1522	24520	15085
1523	24537	15070
1524	24553	15054
1525	24569	15037
1526	24584	15021
1527	24600	15005
1528	24616	14988
1529	24632	14972
1530	24649	14956
1531	24664	14940
1532	24680	14924
1533	24697	14908
1534	24713	14892
1535	24729	14876
1536	24745	14860
1537	24761	14844
1538	24777	14827
1539	24793	14811
1540	24810	14795
1541	24825	14779
1542	24841	14763
1543	24856	14746
1544	24872	14730
1545	24889	14714
1546	24905	14698
1547	24921	14682
1548	24938	14666
1549	24955	14651
1550	24972	14635
1551	24988	14619
1552	25004	14603
1553	25019	14586
1554	25036	14571
1555	25053	14555
1556	25070	14539
1557	25087	14524
1558	25102	14507
1559	25118	14491
1560	25135	14475
1561	25149	14458
1562	25166	14442
1563	25181	14426
1564	25198	14410
1565	25214	14394
1566	25229	14377
1567	25245	14361
1568	25261	14345
1569	25278	14329
1570	25295	14314
1571	25310	14297
1572	25327	14281
1573	25342	14264
1574	25358	14249
1575	25375	14233
1576	25391	14217
1577	25407	14201
1578	25423	14185
1579	25439	14169
1580	25456	14153
1581	25472	14136
1582	25488	14121
1583	25504	14104
1584	25520	14088
1585	25536	14072
1586	25552	14056
1587	25568	14040
1588	25585	14024
1589	25600	14007
1590	25617	13991
1591	25633	13975
1592	25648	13959
1593	25665	13943
1594	25681	13927
1595	25698	13911
1596	25714	13896
1597	25731	13880
1598	25747	13864
1599	25763	13848
1600	25779	13831
1601	25795	13815
1602	25811	13799
1603	25827	13783
1604	25842	13766
1605	25859	13750
1606	25875	13734
1607	25891	13718
1608	25908	13702
1609	25925	13687
1610	25942	13671
1611	25958	13655
1612	25973	13639
1613	25989	13622
1614	26005	13606
1615	26021	13590
1616	26037	13574
1617	26053	13558
1618	26070	13542
1619	26085	13526
1620	26102	13510
1621	26118	13493
1622	26133	13477
1623	26149	13461
1624	26165	13444
1625	26181	13429
1626	26198	13413
1627	26214	13397
1628	26230	13380
1629	26245	13364
1630	26262	13348
1631	26278	13332
1632	26294	13316
1633	26311	13300
1634	26327	13284
1635	26343	13268
1636	26361	13253
1637	26376	13236
1638	26392	13220
1639	26408	13204
1640	26424	13188
1641	26440	13172
1642	26457	13156
1643	26474	13140
1644	26489	13124
1645	26506	13108
1646	26521	13091
1647	26537	13075
1648	26554	13059
1649	26569	13042
1650	26585	13027
1651	26601	13010
1652	26617	12994
1653	26634	12978
1654	26650	12962
1655	26666	12946
1656	26682	12930
1657	26698	12914
1658	26715	12898
1659	26730	12882
1660	26746	12866
1661	26761	12849
1662	26777	12833
1663	26794	12817
1664	26810	12801
1665	26825	12784
1666	26841	12768
1667	26857	12752
